ID,FDAT,Calving Season Code,DIMatheat,DIM at Heat Code,Lact,Parity,heat_DATE,Heat Date Code,SB_FHIACBAR,SB_HTSTARTS,SB_HTENDS,SB_PROB,Heat Probability Category,SB_RUMINDEC,SB_RDTIM,SB_RUMHOUR,DC_BRDAT,DC_BRTIM,SIR,Sire Code,BCODE,DC_ACLEV,DC_ACDAT,DC_ACTIM,outcome,AMW5,AMW7,Code for milk @ 7 Weeks,AMW14,M305,CDAT,DCC_IF_P,PDCC,DDRY,EASE,Ease Code,Calf Sex and Survival,TWIN,DOA,OBSERV.,,,,,,,,,
5583,4/12/20,0,41,1,2,Multiparous,5/23/20,0,20:00:00,0:07:00,13:08:00,100,5,.,.,.,.,.,.,0,.,100,5/23/20,0,.,2390,3740,3,7590,19850,.,.,277,48,1,No problem,MA       ,S,0,FRESH,,,,,,,,,
5476,4/23/20,0,113,3,2,Multiparous,8/14/20,1,NO PROGRESSIVE HIGH ACTIVITY BARS,0:07:00,16:08:00,100,5,NO,.,.,8/14/20,15,SEXED,2,H,100,8/14/20,23,O ,3100,4440,4,8250,21610,.,.,277,52,1,No problem,MA       ,T    ,0,.,,,,,,,,,
5643,7/10/20,1,37,1,2,Multiparous,8/16/20,1,NO PROGRESSIVE HIGH ACTIVITY BARS,0:08:00,13:08:00,100,5,YES,16:00:00,8,.,.,.,0,.,100,8/16/20,0,.,1960,2720,2,2720,14190,.,.,276,61,1,No problem,MA       ,S,0,FRESH,,,,,,,,,
6415,4/10/20,0,78,2,1,Primiparous,6/27/20,1,20:00:00,0:08:00,10:08:00,100,5,YES,19:00:00,6,6/27/20,13,BEEF,1,H,100,6/27/20,0,P ,1740,2910,2,6880,23490,6/27/20,0,276,0,1,No problem,MA       ,S,0,,,,,,,,,,
6548,6/24/20,1,1,1,1,Primiparous,6/25/20,1,14:00:00,0:08:00,.,100,5,YES,10:00:00,8,.,.,.,0,.,100,6/25/20,0,.,1970,3110,3,4610,19060,.,.,270,0,1,No problem,FA       ,S,0,FRESH/ RECENT CALVING,,,,,,,,,
6545,6/25/20,1,52,2,1,Primiparous,8/16/20,1,NO PROGRESSIVE HIGH ACTIVITY BARS,0:08:00,11:08:00,100,5,YES,19:00:00,4,.,.,.,0,.,100,8/16/20,0,.,2390,3570,3,5250,20860,.,.,268,0,1,No problem,FA       ,S,0,CUHT=NO/ DIM= 53,,,,,,,,,
4796,3/24/20,0,72,2,3,Multiparous,6/4/20,1,18:00:00,0:08:00,18:07:00,100,5,YES,20:00:00,4,6/4/20,12,SEXED,2,X,100,6/4/20,0,O ,2720,4260,4,8920,25770,7/19/20,.,272,43,1,No problem,FA       ,S,0,.,,,,,,,,,
4762,4/8/20,0,85,2,3,Multiparous,7/2/20,1,15:00:00,0:08:00,15:08:00,100,5,YES,16:00:00,8,7/2/20,11,SEXED,2,X,100,7/2/20,0,O ,3190,4800,4,9420,25850,.,.,281,51,1,No problem,MD       ,S,1,,,,,,,,,,
4715,5/17/20,0,64,2,3,Multiparous,7/20/20,1,16:00:00,0:08:00,13:08:00,100,5,YES,19:00:00,4,.,.,.,0,.,100,7/20/20,0,.,3140,4850,4,10090,25190,.,.,277,48,1,No problem,FA       ,S,0,CUHT=NO/ DIM= 65 ,,,,,,,,,
5459,4/4/20,0,54,2,2,Multiparous,5/28/20,0,22:00:00,0:08:00,18:08:00,100,5,YES,1:00:00,4,.,.,.,0,.,100,5/28/20,0,.,3400,5050,5,10360,25530,7/11/20,.,284,54,1,No problem,MA       ,S,0,.,,,,,,,,,
249,11/13/19,0,218,5,4,Multiparous,6/18/20,1,18:00:00,0:08:00,9:08:00,100,5,YES,16:00:00,8,6/18/20,13,BEEF,1,O,NO DATA= SB-DC SYNCH PROBLEM,NO DATA= SB-DC SYNCH PROBLEM,NO DATA= SB-DC SYNCH PROBLEM,P ,3360,5210,5,10930,29850,6/18/20,0,277,79,1,No problem,MA       ,S,0,.,,,,,,,,,
5364,4/19/20,0,64,2,2,Multiparous,6/22/20,1,18:00:00,0:08:00,14:08:00,100,5,YES,17:00:00,8,.,.,.,0,.,100,6/22/20,0,.,3450,5290,5,10010,25500,.,.,282,48,1,No problem,MA       ,S,0,CUHT=NO/DIM=65,,,,,,,,,
4602,3/24/20,0,72,2,3,Multiparous,6/4/20,1,18:00:00,0:08:00,14:08:00,100,5,YES,17:00:00,4,6/4/20,5,BEEF,1,X,100,6/4/20,0,P ,3620,5580,5,11350,28280,6/4/20,0,279,71,1,No problem,FA       ,S,0,.,,,,,,,,,
3858,2/23/20,0,127,3,4,Multiparous,6/29/20,1,17:00:00,0:08:00,18:08:00,100,5,YES,17:00:00,14,6/29/20,5,BEEF,1,H,100,6/29/20,0,O ,3820,5860,5,11980,31470,.,.,282,48,1,No problem,FA       ,S,0,,,,,,,,,,
5894,1/19/20,0,151,4,1,Primiparous,6/18/20,1,18:00:00,0:11:00,4:08:00,100,5,YES,19:00:00,8,6/18/20,12,SEXED,2,O,NO DATA= SB-DC SYNCH PROBLEM,NO DATA= SB-DC SYNCH PROBLEM,NO DATA= SB-DC SYNCH PROBLEM,O ,2040,3100,3,6210,21590,.,.,278,0,1,No problem,MA       ,S,0,.,,,,,,,,,
6477,4/20/20,0,94,2,1,Primiparous,7/23/20,1,18:00:00,0:25:00,.,100,5,YES,15:00:00,13,7/23/20,12,BEEF,1,H,100,7/23/20,0,P ,2090,3270,3,6910,21450,.,.,265,0,3,Needed Assistance,FD       ,S,1,.,,,,,,,,,
6515,5/11/20,0,72,2,1,Primiparous,7/22/20,1,20:00:00,0:41:00,16:08:00,100,5,YES,13:00:00,14,7/22/20,10,SEXED,2,H,100,7/22/20,0,O ,1370,2210,2,4750,14970,.,.,277,0,1,No problem,MA       ,S,0,.,,,,,,,,,
5720,7/17/20,1,23,1,2,Multiparous,8/9/20,1,16:00:00,1:07:00,13:07:00,100,5,YES,18:00:00,10,.,.,.,0,.,100,8/9/20,1,.,2330,3550,3,6370,18850,.,.,240,12,1,No problem,.,S,0,FRESH,,,,,,,,,
4825,5/24/20,0,35,1,3,Multiparous,6/28/20,1,3:00:00,1:07:00,15:08:00,100,5,NO,.,.,.,.,.,0,.,100,6/28/20,1,.,3210,4030,4,9850,23850,.,.,270,41,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
5414,2/15/20,0,180,4,2,Multiparous,8/13/20,1,NO PROGRESSIVE HIGH ACTIVITY BARS,1:07:00,17:08:00,100,5,YES,22:00:00,9,8/13/20,16,BEEF,1,H,100,8/13/20,1,O ,2610,4060,4,8100,24680,.,.,271,40,1,No problem,FA       ,S,0,.,,,,,,,,,
3579,10/31/19,0,241,5,4,Multiparous,6/28/20,1,NO PROGRESSIVE HIGH ACTIVITY BARS,1:07:00,17:08:00,100,5,YES,0:00:00,7,.,.,.,0,.,100,6/28/20,1,.,3040,4610,4,9140,27900,.,.,280,52,1,No problem,FA       ,S,0,DNB,,,,,,,,,
4091,4/24/20,0,58,2,4,Multiparous,6/21/20,1,NO PROGRESSIVE HIGH ACTIVITY BARS,1:08:00,18:08:00,100,5,YES,21:00:00,.,6/21/20,16,BEEF,1,K,100,6/21/20,1,P ,3280,4820,4,9570,25940,6/21/20,0,282,60,3,Needed Assistance,FA       ,S,0,CUHT=YES,,,,,,,,,
6295,3/17/20,0,72,2,1,Primiparous,5/28/20,0,14:00:00,1:08:00,15:10:00,100,5,YES,17:00:00,9,5/28/20,5,SEXED,2,X,100,5/28/20,1,P ,1680,2590,2,5550,18710,5/28/20,0,274,0,1,No problem,FA       ,S,0,.,,,,,,,,,
6254,5/28/20,0,39,1,1,Primiparous,7/6/20,1,23:00:00,1:08:00,18:08:00,100,5,YES,20:00:00,14,.,.,.,0,.,100,7/6/20,1,.,1770,2670,2,5430,15670,.,.,271,0,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
4584,4/14/20,0,39,1,3,Multiparous,5/23/20,0,18:00:00,1:08:00,14:07:00,100,5,YES,16:00:00,11,.,.,.,0,.,100,5/23/20,1,.,2280,3520,3,7230,19500,7/9/20,.,274,43,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
5843,1/10/20,0,193,4,1,Primiparous,7/21/20,1,20:00:00,1:08:00,15:08:00,100,5,YES,16:00:00,10,7/21/20,14,BEEF,1,H,100,7/21/20,1,O ,2620,3890,3,7680,26280,.,.,275,0,1,No problem,FA       ,S,0,.,,,,,,,,,
5682,5/1/20,0,44,1,2,Multiparous,6/14/20,1,21:00:00,1:08:00,16:08:00,100,5,YES,15:00:00,6,.,.,.,0,.,100,6/14/20,1,.,2850,4400,4,9160,24960,.,.,274,46,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
